revenue_code,deal_type,fee tier,Primary contractor,
RC1,MANAGED,audience +,ozone,
RC2,MANAGED,,,
RC7,OZONE_DEALS_BRAND,audience +,ozone,
RC8,OZONE_DEALS_PERFORMANCE,audience +,ozone,
RC9,OZONE_DEALS_CONTEXT,audience +,ozone,
RC10,OZONE_PMP,audience +,ozone,
RC13,OMP,context +,ozone,
RC13,OTHER_PMP,context +,ozone,
RC14,OMG_BRAND_PMP,audience +,ozone,
RC15,OMG_PERFORMANCE_PMP,context +,ozone,
RC16,OMG_CONTEXT_PMP,context +,ozone,
RC17,OMG_PUBLISHER_PMP,context +,ozone,
RC19,DENTSU_MKT,context +,ozone,
RC22,PUBLICIS_BRAND_PMP,audience +,ozone,
RC23,PUBLICIS_PERFORMANCE_PMP,context +,ozone,
RC24,PUBLICIS_CONTEXT_PMP,context +,ozone,
RC25,PUBLICIS_PUBLISHER_PMP,context +,ozone,
RC26,MERKLE_BRAND_PMP,audience +,ozone,
RC27,MERKLE_PERFORMANCE_PMP,context +,ozone,
RC28,MERKLE_CONTEXT_PMP,context +,ozone,
RC29,MERKLE_PUBLISHER_PMP,context +,ozone,
RC30,HAVAS_BRAND_PMP,audience +,ozone,
RC31,HAVAS_PERFORMANCE_PMP,context +,ozone,
RC32,HAVAS_CONTEXT_PMP,context +,ozone,
RC33,HAVAS_PUBLISHER_PMP,context +,ozone,
RC37,OMP,context,ozone,
RC38,OMP,context,ozone,
RC39,OMP,context,ozone,
RC41,OMP,context,ozone,
RC168,MULTIBUYER_BRAND_PMP,audience +,ozone,
RC169,MULTIBUYER_PERFORMANCE_PMP,context +,ozone,
RC170,MULTIBUYER_CONTEXT_PMP,context +,ozone,
RC171,MULTIBUYER_PUBLISHER_PMP,context +,ozone,
RC172,OMP,context,ozone,
RC173,MULTIBUYER_CONTEXT_PMP,audience +,ozone,
RC174,MULTIBUYER_PERFORMANCE_PMP,audience +,ozone,
RC175,MULTIBUYER_PUBLISHER_PMP,audience +,ozone,
RC176,OMP,context,ozone,
RC177,OTHER_PMP,context +,ozone,
RC178,MULTIBUYER_BRAND_PMP,,,
RC179,OMP,context,ozone,
RC181,OTHER_PMP,,,
RC182,OTHER_PMP,,,
RC193,PANDG_MKT,,,
RC194,OTHER_PMP,,,
RC199,OTHER_PMP,context,ozone,
